,title,originallink,link,description,pubDate
32,"포스코그룹, HMM 인수 목적 사업성 검토 진행",https://biz.chosun.com/industry/company/2025/09/04/HJJGBSQJSNEXFPJYG4RWHCMHFE/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0001105565?sid=101,"산업은행은 전환사채(CB)를 <b>주식</b>으로 전환해 오면서 HMM이 지분을 늘려왔는데, HMM 지분이 늘면 국제결제은행(BIS) 자기자본비율이 하락해 조달금리가 오르고 대출 여력이 줄어드는 상황을 맞을 수 있어서다. 다만, 이... ","Thu, 04 Sep 2025 18:49:00 +0900"
33,[엄길청의 문전성시] 대가의 방문,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=1700&key=20250905.22018000395,https://n.news.naver.com/mnews/article/658/0000119007?sid=110,"종합상사의 <b>주식</b>을 5% 이상 보유하고 있다고 공시한 바 있는 그는, 그때의 방문으로 더욱 일본 종합상사의 지분을 늘리겠다고 하면서, 방문길에 금리가 아주 낮은 일본의 엔화를 차입해 그 돈으로 다시 일본 <b>주식</b>을 더 사고... ","Thu, 04 Sep 2025 18:49:00 +0900"
34,"윤동한, 법정서 처음 입 뗐다...“아들이 나를 법정에 세워”",https://www.etoday.co.kr/news/view/2503330,https://www.etoday.co.kr/news/view/2503330,"콜마홀딩스 측은 콜마비앤에이치가 한국예탁결제원에 주주명부 폐쇄기준일을 8월 28일로 확정한 사실을 통지하고 이를 기준으로 <b>주식</b> 소유자의 성명 및 주소, 소유자가 가진 <b>주식</b>의 종류·종목·수량 등을 기록한 명세의... ","Thu, 04 Sep 2025 18:42:00 +0900"
35,"김대종 세종대 교수, '한국 경제 대전환기, 위기를 넘어서는 프랜차이즈...",https://www.youthdaily.co.kr/news/article.html?no=195182,https://www.youthdaily.co.kr/news/article.html?no=195182,김대종 교수는 &quot;프랜차이즈 산업은 우리나라 근로자 100만명 이상을 고용하며 한국 경제에서 가장 중요한 역할을 하고 있다&quot;고 평가하면서도 &quot;미국과 한국의 기준금리가 인하되면 부동산·<b>주식</b> 등 자산 가치가 상승하고... ,"Thu, 04 Sep 2025 18:36:00 +0900"
36,"비트코인 4년 주기 vs 트레저리 기업 1년 4번 사이클, 변동성의 미래는...",http://coinreaders.com/184478,http://coinreaders.com/184478,"궁극적으로 트레저리 기업 <b>주식</b>은 비트코인 가격 움직임의 영향을 받지만, 동시에 내부 자본 구조와 경영 전략이 레버리지 역할을 하면서 변동성을 배가시키고 있다. 따라서 투자자에게 이러한 종목은 단순히... ","Thu, 04 Sep 2025 18:36:00 +0900"
37,충북대 창업보육센터 입주기업 포네이처스 TIPS 2025 선정,http://www.veritas-a.com/news/articleView.html?idxno=570731,http://www.veritas-a.com/news/articleView.html?idxno=570731,충북대는 창업지원단 창업보육센터 입주기업인 <b>주식</b>회사 포네이처스가 중소벤처기업부와... 충북대 창업지원단 창업보육센터 입주기업인 <b>주식</b>회사 포네이처스가 중소벤처기업부와... ,"Thu, 04 Sep 2025 18:36:00 +0900"
38,[중국증시-마감] 中 당국의 투기 억제책 소식에 하락,https://news.einfomax.co.kr/news/articleView.html?idxno=4373027,https://news.einfomax.co.kr/news/articleView.html?idxno=4373027,4일 중국 주요 지수는 중국 당국이 <b>주식</b> 투기 억제책을 검토 중이라는 소식에 하락했다. 연합인포맥스... 당국은 <b>주식</b> 시장 냉각 조치로 일부 공매도 규제 해제를 포함해 다양한 방안을 검토하고 있는 것으로... ,"Thu, 04 Sep 2025 18:34:00 +0900"
39,"한국청과, 한국농수산대학교에 1억원 기탁…“농어업 미래 청년에 달려...",https://www.busan.com/view/busan/view.php?code=2025090418302772353,https://n.news.naver.com/mnews/article/082/0001343379?sid=101,"한국농수산대학교(한농대)는 9월 4일, 한농대 본관에서 한국청과 <b>주식</b>회사의 한농대 발전기금 1억원 기탁식 행사를 개최했다. 이날 기탁 행사는 한농대 이주명 총장과 한국청과 박상헌 대표 및 관계자가 참석한 가운데... ","Thu, 04 Sep 2025 18:33:00 +0900"
40,[서환-마감] 상하방 재료 혼재에 보합…0.20원↑,https://news.einfomax.co.kr/news/articleView.html?idxno=4373026,https://news.einfomax.co.kr/news/articleView.html?idxno=4373026,"오후 들어 쏟아진 외국인 <b>주식</b> 매수세도 하락 압력을 더해 상승분을 반납하게 했다. 유가증권시장에서 외국인은 이날 <b>주식</b>을 2천억원어치 이상 순매수했다. 사흘째 이어진 매수 행진이다. 한편, 중국은 미국의... ","Thu, 04 Sep 2025 18:32:00 +0900"
41,"한국거래소, 영풍 소송 판결 공시 지연에 ‘불성실공시법인’ 지정예고",https://www.kyeonggi.com/article/20250904580362,https://n.news.naver.com/mnews/article/666/0000082683?sid=101,"부과 벌점이 10점 이상일 경우, 불성실공시법인으로 지정되는 날 하루 동안 <b>주식</b> 매매거래가 정지된다. 다만 이의신청이 없고 위반 동기가 고의·중과실이 아니며 중요성이 크지 않고, 최근 1년간 공시의무 위반 전력이... ","Thu, 04 Sep 2025 18:29:00 +0900"
42,[마켓인]연기금투자풀 첫 벤처 출자…&quot;세컨더리 갈증 푸나&quot;,http://www.edaily.co.kr/news/newspath.asp?newsid=04031126642296840,https://n.news.naver.com/mnews/article/018/0006107139?sid=101,"기존 투자자는 조기 엑시트(투자금 회수)가 가능하고, 신규 투자자는 상대적으로 낮은 밸류에이션에 <b>주식</b>을 매입할 수 있다. 최근 업계에서는 이 같은 수요가 더욱 커지고 있다. 증시 불황으로 IPO 시장이 침체되면서... ","Thu, 04 Sep 2025 18:29:00 +0900"
43,"하림지주, 보유 자사주 전량 유동화 통해 1432억 현금 확보",https://www.smarttoday.co.kr/news/articleView.html?idxno=90391,https://www.smarttoday.co.kr/news/articleView.html?idxno=90391,자기<b>주식</b>을 교환대상으로 하는 교환사채(EB) 발행 방식으로 1432억원 규모 현금재원을 확보했다. EB발행으로 확보하는 현금은 지난6월말 보유 유동자산 704억원 보다 2배 많은 규모이다. 의결권이 없던 자사주가 EB를... ,"Thu, 04 Sep 2025 18:28:00 +0900"
44,"케이웨이브미디어, 래빗워크 인수 ‘콘텐츠 역량 강화’",https://www.joongang.co.kr/article/25364410,https://n.news.naver.com/mnews/article/025/0003466857?sid=102,"KWM은 래빗워크(Rabbit Walk) 지분 55%를 약 90억 원(650만 달러)에 인수해 경영권을 확보하고, 추후 성과에 따라 추가 <b>주식</b> 발행도 계획하고 있다. 래빗워크는 2010년 설립된 B2B VFX 기업으로, AI 기반 광고와 3D 콘텐츠... ","Thu, 04 Sep 2025 18:25:00 +0900"
45,"엔케이맥스, 회생절차 종결…정상기업 복귀 시동거나",https://www.hankyung.com/article/202509043712i,https://n.news.naver.com/mnews/article/015/0005180470?sid=105,엔케이맥스는 지난해 내내 대주주 <b>주식</b>담보대출(주담대) 반대매매와 감사의견 거절 등으로 위기를 겪었다. 지난 1월에는 박상우 대표가 470억원 규모의 주담대 상환에 실패하면서 담보 지분이 장내 매도돼 최대주주... ,"Thu, 04 Sep 2025 18:23:00 +0900"
46,"“일은 선불, 돈은 체불”…국회에 울려 퍼진 노동자의 절규",https://ilyo.co.kr/?ac=article_view&entry_id=499113,https://ilyo.co.kr/?ac=article_view&entry_id=499113,"토론회에 앞서 열린 증언대회에서는 서광종합개발<b>주식</b>회사가 하도급 대금 체불을, 건설노조 덤프트럭이 농어촌공사 장비임대료 체불을, 한국실내건설노조에서 일용 노동자 체불을, 방송작가지부에서 서울지역 외주업체... ","Thu, 04 Sep 2025 18:22:00 +0900"
47,HLB테라퓨틱스 CB에 조기상환청구 86% 몰려,http://www.fnnews.com/news/202509041820575275,https://n.news.naver.com/mnews/article/014/0005401878?sid=101,<b>주식</b> 전환 가격은 1주당 6920원이지만 HLB테라퓨틱스의 주가는 현재 3000원 초반대에서 움직이고 있다. 현재 CB를 <b>주식</b>으로 전환하면 3000원선 <b>주식</b>을 6000원대에 사는 셈이어서 손해다. 회사는 현금으로 상환하거나... ,"Thu, 04 Sep 2025 18:22:00 +0900"
48,&quot;거래 더 안전하게&quot; 키움證 투자 확대,http://www.fnnews.com/news/202509041820592749,https://n.news.naver.com/mnews/article/014/0005401879?sid=101,키움증권이 <b>주식</b> 거래 안정성을 획기적으로 개선하기 위해 대규모 투자에 나선다. 매년 투입하고 있는 약 1000억원 규모의 전산비용과 별개로 연내 300억원을 정보기술(IT) 분야에 추가 투자하기로 했다. 키움증권은 IT 투자... ,"Thu, 04 Sep 2025 18:22:00 +0900"
49,"콕스, 디자인과 실용성을 모두 잡은 기계식키보드 ‘CS87’ ‘CS108’ 시...",https://kbench.com/?q=node/271035,https://kbench.com/?q=node/271035,"삶의 새로운 패러다임, “뉴 라이프 플랫폼”을 만들어가는 <b>주식</b>회사 앱코(대표이사 : 오광근)의 게이밍 브랜드 콕스가 실용성과 감성을 모두 충족하는 기계식 키보드 신제품 COX CS108 3MODE 기계식 키보드 (이하... ","Thu, 04 Sep 2025 18:22:00 +0900"
50,공매도 타깃 된 카카오페이… 개미들 '비명',http://www.fnnews.com/news/202509041820535525,https://n.news.naver.com/mnews/article/014/0005401877?sid=101,"교환사채란 발행회사가 보유한 <b>주식</b> 등과 교환가능한 채권이다. 알리페이는 지난 2일 보유 중인... 당시 EB 발행의 교환 <b>주식</b>은 보유 중인 카카오페이 지분의 3.55%에 해당하는 479만6168주였고, 당시 만기 역시... ","Thu, 04 Sep 2025 18:21:00 +0900"
51,"하림지주, 자사주 1천474만주 교환…1천432억원 EB 발행",https://news.einfomax.co.kr/news/articleView.html?idxno=4373024,https://news.einfomax.co.kr/news/articleView.html?idxno=4373024,"하림지주가 오는 12일 자기<b>주식</b> 1천474만4천440주를 교환사채(EB)를 발행해 처분한다고 4일 공시했다. 처분 예정 금액은 1천432억1천274만 원이며, 처분 대상 <b>주식</b>가격은 9천713원이다. 하림지주[003380]는 이번... ","Thu, 04 Sep 2025 18:20:00 +0900"
52,[오늘의 공매도] 9/4 코스피 공매도 TOP 10... HMM 거래량 '34만5958건',http://www.finomy.com/news/articleView.html?idxno=238166,http://www.finomy.com/news/articleView.html?idxno=238166,"한편 9월 4일 코스닥 공매도 종목 순위는 대한광통신 80만8959건, 네오이뮨텍(<b>주식</b>예탁증권) 73만5530건, 오성첨단소재 27만9748건, 오리엔탈정공 26만1190건, 우리기술 18만161건, 케이에스피 17만9175건, SGA... ","Thu, 04 Sep 2025 18:20:00 +0900"
53,"2분기 증권사 순익, 전분기 대비 16.7% 증가..요인은 '수수료'",http://www.thelec.kr/news/articleView.html?idxno=40347,http://www.thelec.kr/news/articleView.html?idxno=40347,"이같은 상승세와 관련, 금감원은 &quot;증시 활성화 기대 등에 따른 <b>주식</b>거래대금 증가에 힘입어 수탁수수료 위주로 대형사와 중소형사의 실적이 동반 개선됐다&quot;고 설명했다. 다만, 상황이 마냥 낙관적이지만은 않다.... ","Thu, 04 Sep 2025 18:20:00 +0900"
54,"미래에셋자산운용, TIGER 배당 ETF 2종 순자산 합계 1조원 돌파",https://www.ngetnews.com/news/articleView.html?idxno=535337,https://www.ngetnews.com/news/articleView.html?idxno=535337,뉴스저널리즘 박지혜 기자 = 미래에셋자산운용은 국내 <b>주식</b>형 고배당 상품인 'TIGER... 있어 <b>주식</b> 시장의 흔들림에 더욱 안정적으로 대응할 수 있는 만큼 앞으로도 더욱 효율적인 월배당 투자 솔루션을 제공할... ,"Thu, 04 Sep 2025 18:20:00 +0900"
